使用眼在手上的标定方式。以下为Link_6->camera_frame的变换。

算法(end_link->camera)                 x          y          z         rx         ry        rz  四元数姿态(w,x,y,z)                                                                         distance
---------------------------  -----------  ---------  ---------  ---------  ---------  --------  ----------------------------------------------------------------------------------------  ----------
end_link->camera:Tsai-Lenz   1.25731e-06  0.0456113  0.0363973  -0.701918  -0.53429   -131.209  [0.4129986054170768, -0.0067761307146684165, 0.0036526216284096247, -0.9106991239324475]   0.0583537
end_link->camera:Park        0.000274034  0.0459691  0.0362136  -0.677449  -0.419637  -132.382  [0.40366179021242915, -0.00573683794479192, 0.003930365845650985, -0.9148818503157724]     0.0585206
end_link->camera:Horaud      0.000291832  0.045993   0.0362336  -0.683966  -0.393849  -132.462  [0.4030180368257728, -0.0055510341740416915, 0.004077158287668858, -0.9151661186872011]    0.0585518
end_link->camera:Daniilidis  0.000704178  0.0459169  0.0295924  -0.683833  -0.287367  -133.348  [0.39594419718022034, -0.0046656694544192955, 0.004486793578082127, -0.9182517590134195]   0.0546312

算法平均值测试              x            y            z            rx           ry           rz         距离
----------------  -----------  -----------  -----------  ------------  -----------  -----------  -----------
mean              0.000317825  0.0458726    0.0346092    -0.686791     -0.408786    -132.35      0.0575143
var               6.30192e-08  2.35208e-08  8.39456e-06   8.32085e-05   0.00770865     0.57792   2.77643e-06
std               0.000251036  0.000153365  0.00289734    0.00912187    0.0877989      0.760211  0.00166626
Tsai-Lenz                       x             y            z         rx           ry         rz  四元数姿态(w,x,y,z)                                                                    距离
-------------------  ------------  ------------  -----------  ---------  -----------  ---------  ----------------------------------------------------------------------------------  -------
base_link->marker0   -1.11223      -0.0723602    0.69666      1.56185     0.021554    1.49674    [0.5256133714754206, 0.510605249010725, 0.4845698517110716, 0.4777079884423609]     1.31439
base_link->marker1   -1.11049      -0.0682201    0.690866     1.57154     0.0226651   1.50623    [0.5211343380716575, 0.5105575009829232, 0.48959471966704105, 0.47754272096519196]  1.30963
base_link->marker2   -1.10629      -0.0584744    0.687886     1.57284     0.0238888   1.47076    [0.5294707418110539, 0.5192105466370491, 0.48108438372451856, 0.4675884489198903]   1.30403
base_link->marker3   -1.10666      -0.0475555    0.688411     1.55717     0.0204046   1.39153    [0.5509985421040827, 0.5343569714715092, 0.4556888946088036, 0.4507891579987022]    1.30417
base_link->marker4   -1.10986      -0.0708197    0.686714     1.59783     0.0261393   1.46958    [0.5237472609733942, 0.5255411346863776, 0.4871544414395642, 0.4606255231325423]    1.30705
base_link->marker5   -1.10461      -0.074518     0.672709     1.60114     0.0182134   1.54947    [0.5021301162679033, 0.5084551567642811, 0.5065982103252674, 0.48238672576246167]   1.29547
base_link->marker6   -1.10402      -0.0742745    0.656688     1.53147     0.0286496   1.4941     [0.535594702520604, 0.5014315156209496, 0.4784500095809431, 0.4824835107088513]     1.28671
base_link->marker7   -1.10633      -0.0635818    0.666223     1.57378     0.0171118   1.4527     [0.5318527247621042, 0.5253924378760387, 0.4748188404280739, 0.464373270290547]     1.293
base_link->marker8   -1.11243      -0.0585599    0.676005     1.57069     0.0186487   1.42412    [0.5396050620736704, 0.5309327221096223, 0.46696657266989916, 0.45703286707485824]  1.30304
base_link->marker9   -1.11087      -0.0622537    0.677199     1.55767     0.0163386   1.48505    [0.528240031767247, 0.5135918360408435, 0.4792312870871678, 0.47699399185682595]    1.3025
base_link->marker10  -1.09163      -0.0643961    0.678642     1.53745     0.0130275   1.47517    [0.5350135539079895, 0.5113683290866222, 0.4709909901640559, 0.48003168262749113]   1.287
base_link->marker11  -1.10613      -0.0619154    0.65692      1.54285    -0.00110702  1.53889    [0.5146923507409311, 0.5010412419996393, 0.4847520298242135, 0.4990640514859166]    1.28799
base_link->marker12  -1.1147       -0.0633481    0.677722     1.57963     0.0189604   1.48481    [0.5232499393356964, 0.5187871683930627, 0.48505110024850673, 0.47095095821498356]  1.30609
base_link->marker13  -1.09666      -0.0641046    0.678309     1.55015     0.0161571   1.489      [0.5291803988795972, 0.5107016759179255, 0.4783943194734098, 0.4798862143798521]    1.29107
base_link->marker14  -1.09902      -0.0619684    0.685456     1.5794      0.0177233   1.47189    [0.5260484902224823, 0.5221454854164704, 0.4813166607535918, 0.4679437466991706]    1.29674
base_link->marker15  -1.1167       -0.0636023    0.669349     1.60046     0.017907    1.47579    [0.5196621365613596, 0.5266651641207802, 0.48729146350006036, 0.46381256809845467]  1.30349
base_link->marker16  -1.09846      -0.0591196    0.65625      1.63152     0.0125999   1.4542     [0.5150419396048718, 0.5411977710750967, 0.4872854381960049, 0.4520947630237781]    1.28093
base_link->marker17  -1.10788      -0.0696771    0.677938     1.54406     0.0148893   1.45608    [0.5382909194027268, 0.5171751777350375, 0.46815129260305277, 0.47287111231009893]  1.30071
base_link->marker18  -1.10459      -0.0700824    0.678421     1.53859     0.0139438   1.45144    [0.5405875523400119, 0.5170084326394854, 0.4654041873524516, 0.4731451375946941]    1.29819
base_link->marker19  -1.10574      -0.0615037    0.678565     1.55945     0.011388    1.45293    [0.5342236753931014, 0.522876149701781, 0.4700280417241538, 0.4693391489269607]     1.29881
base_link->marker20  -1.10104      -0.0587824    0.672379     1.55668     0.0112585   1.45193    [0.5351512309116958, 0.5224001136744615, 0.4690832944104423, 0.4697575376634766]    1.29145
base_link->marker21  -1.10401      -0.0549948    0.685513     1.58255     0.0224202   1.45015    [0.5313688342880283, 0.527077237009587, 0.4775631592600219, 0.46018493792312354]    1.30068
base_link->marker22  -1.10291      -0.0607686    0.687854     1.57962     0.0188697   1.47664    [0.5251502473525864, 0.5207845115968006, 0.482902245428644, 0.4688348659670836]     1.30125
base_link->marker23  -1.10234      -0.0602268    0.690822     1.58205     0.016193    1.49402    [0.519787901557063, 0.5178453352811163, 0.48729959299142145, 0.47349324471726945]   1.30231
base_link->marker24  -1.10259      -0.0641441    0.675222     1.55337     0.0115105   1.51811    [0.5202161566904756, 0.5056745653485107, 0.48536616310362923, 0.48794269334814966]  1.29451
base_link->marker25  -1.09154      -0.0808218    0.67729      1.58158     0.0115913   1.45495    [0.5279821384087511, 0.5282282881788901, 0.4757812423452592, 0.46458793195833636]   1.28713
base_link->marker26  -1.10367      -0.0686199    0.684928     1.58849     0.0194005   1.48512    [0.5209778684866617, 0.5209199855010761, 0.48732700555132435, 0.46876094004623703]  1.30074
base_link->marker27  -1.11235      -0.0644807    0.668701     1.58278     0.00664059  1.52693    [0.5094060023404772, 0.5122811101498309, 0.49351758236024224, 0.48426643995268914]  1.29948
base_link->marker28  -1.09465      -0.0691199    0.669855     1.61894     0.0266551   1.40421    [0.5328987955848223, 0.5467176066628174, 0.4745048891638819, 0.43813678502118336]   1.2852
base_link->marker29  -1.10243      -0.0598662    0.677381     1.58883     0.0208221   1.48068    [0.5222665143671128, 0.5217511540684632, 0.4866132621795536, 0.4671412572980742]    1.2953
base_link->marker30  -1.10368      -0.0619076    0.677346     1.5665      0.0207111   1.49216    [0.5253150332016351, 0.5131423467444075, 0.48428886011031813, 0.47559788460742347]  1.29644
base_link->marker31  -1.10092      -0.0646746    0.685122     1.54559     0.0138797   1.51696    [0.5230258296779042, 0.5033368284459437, 0.483786722665156, 0.4889237421036387]     1.29831
mean                 -1.10461      -0.0643357    0.677792     1.57145     0.017158    1.47632    1.2976191411060725
var                   3.65329e-05   3.98366e-05  9.62182e-05  0.0005398   3.4983e-05  0.0011686  5.6849259707268356e-05
std                   0.00604424    0.00631162   0.00980909   0.0232336   0.00591464  0.0341848  0.007539844806577146
Park                            x            y            z           rx            ry          rz  四元数姿态(w,x,y,z)                                                                    距离
-------------------  ------------  -----------  -----------  -----------  ------------  ----------  ----------------------------------------------------------------------------------  -------
base_link->marker0   -1.1121       -0.0699249   0.695569     1.56264       0.00113991   1.49431     [0.5211353756672557, 0.516357461110653, 0.4788504435217503, 0.4821775039573414]     1.31358
base_link->marker1   -1.11016      -0.0671949   0.691853     1.57214       0.00224388   1.50381     [0.5166572806192331, 0.5162695340480508, 0.4838797113678276, 0.4820699612333615]    1.30982
base_link->marker2   -1.10595      -0.0569999   0.687988     1.57271       0.00343      1.46858     [0.5251989388723068, 0.5245786520865475, 0.4751572873023351, 0.47244985417073615]   1.30372
base_link->marker3   -1.10645      -0.0462777   0.685673     1.55781      -0.000128949  1.3904      [0.5464924285810423, 0.539497057649252, 0.4499421580816604, 0.45589582655713407]    1.3025
base_link->marker4   -1.10953      -0.0713148   0.688279     1.59996       0.00578316   1.46751     [0.5188161501820434, 0.5313940077878302, 0.4818727931117458, 0.4650256144086639]    1.30762
base_link->marker5   -1.1044       -0.0749438   0.673737     1.60249      -0.00231388   1.54913     [0.49673409377908984, 0.5138967753856246, 0.5017527128770479, 0.4872469183547973]   1.29585
base_link->marker6   -1.10368      -0.0734392   0.654756     1.53237       0.00815439   1.49568     [0.5302047131960687, 0.5063635205266261, 0.473695236461793, 0.48794648286258]       1.28538
