算法(end_link->camera)                 x          y          z        rx         ry        rz  四元数姿态(w,x,y,z)                                                                        distance
---------------------------  -----------  ---------  ---------  --------  ---------  --------  ---------------------------------------------------------------------------------------  ----------
end_link->camera:Tsai-Lenz   -0.00152371  0.0413216  0.0381913  -5.23594  -0.972594  -127.425  [0.4420495885397069, -0.027829894671732015, 0.0371962284099302, -0.8957868601550888]      0.0562883
end_link->camera:Park         0.00216446  0.0423504  0.0367232  -4.69836  -0.201385  -132.395  [0.40317697128992946, -0.018149198433163906, 0.036794316575523234, -0.9142019003947942]   0.0560966
end_link->camera:Horaud       0.00197701  0.0421815  0.0366384  -4.67622  -0.353702  -132.184  [0.40481513232285127, -0.019352886614179627, 0.03604586840714619, -0.9134828240273075]    0.0559067
end_link->camera:Daniilidis   0.00330249  0.0398847  0.025964   -4.44175  -0.12335   -133.853  [0.3915824005514515, -0.016177010537753504, 0.03523016431288617, -0.9193260376117447]     0.0477056

算法平均值测试              x            y            z          rx         ry          rz         距离
----------------  -----------  -----------  -----------  ----------  ---------  ----------  -----------
mean              0.00148006   0.0414345    0.0343792    -4.76307    -0.412758  -131.464    0.0539993
var               3.26481e-06  9.52823e-07  2.39865e-05   0.0846474   0.111335     5.85101  1.32216e-05
std               0.00180688   0.000976127  0.00489761    0.290942    0.333669     2.41889  0.00363616
Tsai-Lenz                       x             y           z          rx           ry           rz  四元数姿态(w,x,y,z)                                                                     距离
-------------------  ------------  ------------  ----------  ----------  -----------  -----------  -----------------------------------------------------------------------------------  -------
base_link->marker0   -1.03908      -0.151838     0.66412     1.50781     0.106762     1.672        [0.5151624114089017, 0.42939333230808147, 0.5332259135588644, 0.5156541293832922]    1.2425
base_link->marker1   -1.04029      -0.150232     0.671387    1.53187     0.102003     1.67852      [0.507132063340272, 0.4351302589468099, 0.5397261919832541, 0.5120296532119761]      1.24721
base_link->marker2   -1.04553      -0.160266     0.633071    1.52156     0.0823388    1.67963      [0.5042611454601104, 0.4377172910901309, 0.5328018488496578, 0.5198523445386789]     1.23272
base_link->marker3   -1.0418       -0.163939     0.63837     1.51292     0.0827822    1.67967      [0.5062444812466379, 0.4354015125168853, 0.5306641184417089, 0.5220513782223118]     1.23278
base_link->marker4   -1.0384       -0.160037     0.644937    1.50058     0.082674     1.68244      [0.5081663716393845, 0.43156625579361363, 0.5280058859045671, 0.5260487525365667]    1.23281
base_link->marker5   -1.03207      -0.157012     0.633295    1.53606     0.0645034    1.63971      [0.5069079081957195, 0.45682464077890217, 0.5234330672808808, 0.5102680121884928]    1.22102
base_link->marker6   -1.04413      -0.14268      0.666806    1.4804      0.0789525    1.64554      [0.5213306898098283, 0.4370304662430886, 0.5138176681203063, 0.5226950232833366]     1.24708
base_link->marker7   -1.04221      -0.145197     0.656621    1.46528     0.0800057    1.66366      [0.520075985089414, 0.42814014855318944, 0.5140082658750094, 0.5310484775821264]     1.24033
base_link->marker8   -1.04777      -0.174827     0.658747    1.57331     0.081904     1.72355      [0.48142588327543206, 0.43863910040674503, 0.5557431843517653, 0.5166956275733241]   1.24993
base_link->marker9   -1.04292      -0.181776     0.654442    1.57842     0.0800388    1.71168      [0.48287156611377635, 0.44367823101409026, 0.554030560690866, 0.5128691994881358]    1.2446
base_link->marker10  -1.03016      -0.186149     0.671044    1.59799     0.0777933    1.68722      [0.48409613643257177, 0.4557908243345418, 0.553001314729551, 0.5020908294829571]     1.24345
base_link->marker11  -1.04045      -0.181794     0.691464    1.63862     0.07233      1.7197       [0.46524068308463673, 0.4577844804094381, 0.5694116263168744, 0.4997548159991797]    1.26242
base_link->marker12  -1.04601      -0.158957     0.69474     1.60739     0.0991039    1.68931      [0.48694011284763306, 0.4517288306800772, 0.5604847227770552, 0.49465873646977276]   1.26572
base_link->marker13  -1.02934      -0.156624     0.715619    1.58715     0.0925868    1.68878      [0.4899576915564057, 0.44870503656727945, 0.5538984380405655, 0.501798536247463]     1.2634
base_link->marker14  -1.04014      -0.161071     0.688273    1.56034     0.0887733    1.71381      [0.4885446484157023, 0.43628020313120525, 0.5517720646306696, 0.5162666942127685]    1.2576
base_link->marker15  -1.04964      -0.143258     0.697882    1.56276     0.0959599    1.68754      [0.49655629426581793, 0.4421085966671718, 0.5482178703981601, 0.5073746169785086]    1.26858
base_link->marker16  -1.05014      -0.145568     0.644313    1.51173     0.0744519    1.74042      [0.4883002567179964, 0.42117661891872266, 0.5414550700270768, 0.5394437154210857]    1.24062
base_link->marker17  -1.045        -0.15391      0.67392     1.52872     0.0853706    1.67845      [0.5037429324807595, 0.43899181893464145, 0.5351004619541961, 0.5169107626085436]    1.25295
base_link->marker18  -1.05398      -0.147955     0.629832    1.48106     0.05946      1.69847      [0.502406643061065, 0.4289941756339506, 0.5208014633278664, 0.5406638494256958]      1.23671
base_link->marker19  -1.04188      -0.178156     0.638798    1.54883     0.0647559    1.72491      [0.4820004557843146, 0.437132866869268, 0.5458512625321131, 0.5278606033021085]      1.23504
base_link->marker20  -1.04749      -0.164183     0.66313     1.52864     0.082913     1.67799      [0.5032731887545938, 0.43977790963095725, 0.5344122359897373, 0.5174118762705956]    1.25057
base_link->marker21  -1.04164      -0.165491     0.671625    1.52238     0.0809898    1.69716      [0.49917095455636634, 0.4336155907901581, 0.536525934411936, 0.5243527431552042]     1.25039
base_link->marker22  -1.0259       -0.176717     0.697718    1.54873     0.0866319    1.71764      [0.48952841109307976, 0.4329849431255786, 0.5491206351917532, 0.5209150619494788]    1.2532
base_link->marker23  -1.03144      -0.164775     0.746781    1.58911     0.099788     1.68572      [0.4921204179656895, 0.44807024435721443, 0.5552851162456195, 0.4987073189948493]    1.28402
base_link->marker24  -1.04914      -0.169175     0.701139    1.61745     0.10428      1.7122       [0.48035464190385063, 0.44628939545522855, 0.5692238693006384, 0.49605380769029417]  1.27315
base_link->marker25  -1.04077      -0.149091     0.699587    1.62332     0.105258     1.68706      [0.48547090403481297, 0.45457351708996885, 0.5652153439199981, 0.48807021410190166]  1.26287
base_link->marker26  -1.0379       -0.138946     0.680243    1.39502     0.148595     1.74366      [0.5282875164102984, 0.3685878613408858, 0.5269443586045693, 0.5544230617606103]     1.24871
base_link->marker27  -1.03307      -0.16696      0.722539    1.58944     0.0858794    1.70657      [0.48323613328671183, 0.4461565340650195, 0.5569821354038451, 0.5071470077188357]    1.27168
base_link->marker28  -1.05403      -0.169582     0.696691    1.68798     0.109129     1.66276      [0.4772147592016883, 0.4760463736753441, 0.5757507489678937, 0.4627710003592909]     1.2748
base_link->marker29  -1.04455      -0.171717     0.724453    1.70234     0.080802     1.7347       [0.44915702056550055, 0.46576652188436435, 0.59028093988828, 0.4825846350362522]     1.28274
base_link->marker30  -1.04068      -0.137237     0.753952    1.62725     0.0671342    1.75502      [0.4574690300175024, 0.44647171470953156, 0.5734212303956542, 0.5124189565879763]    1.2924
mean                 -1.04153      -0.160488     0.678243    1.55692     0.0872242    1.69631      1.2536128886088564
var                   4.74262e-05   0.000172812  0.00104855  0.00409847  0.000287336  0.000752327  0.0002861607797019653
std                   0.00688667    0.0131458    0.0323814   0.0640193   0.016951     0.0274286    0.016916287408943055
Park                            x             y            z          rx            ry           rz  四元数姿态(w,x,y,z)                                                                    距离
-------------------  ------------  ------------  -----------  ----------  ------------  -----------  ----------------------------------------------------------------------------------  -------
base_link->marker0   -1.03839      -0.155856     0.653556     1.4841       0.0218069    1.66988      [0.5001820764402127, 0.44762787704998597, 0.5063037682727985, 0.5413904952328253]   1.2368
base_link->marker1   -1.03992      -0.155865     0.654766     1.50761      0.0172025    1.67649      [0.4919509333840283, 0.45303701202978647, 0.5130196166175378, 0.5381009364787431]   1.23872
base_link->marker2   -1.04445      -0.153957     0.641582     1.53614     -0.00365822   1.66716      [0.48256069534637336, 0.4680027738627482, 0.5134673231066464, 0.5333478105938868]   1.2354
base_link->marker3   -1.04222      -0.154425     0.643005     1.5275      -0.00322446   1.66727      [0.4846598688094273, 0.4657714790319267, 0.5112896867341621, 0.5354853846047736]    1.23431
base_link->marker4   -1.03865      -0.15238      0.647294     1.51492     -0.00337258   1.67003      [0.4867979192651027, 0.46205004332829275, 0.5085133405821506, 0.5393994120403461]   1.23329
base_link->marker5   -1.03257      -0.148608     0.645139     1.5691      -0.0162328    1.6275       [0.48185285987326887, 0.48937079706156056, 0.5095749840775001, 0.5183313419210731]  1.22657
base_link->marker6   -1.04527      -0.138864     0.651328     1.50154     -0.00632979   1.63866      [0.49759455845831563, 0.4674362762536717, 0.49689381695621915, 0.5357233593053927]  1.2394
base_link->marker7   -1.04609      -0.136533     0.64593      1.48599     -0.00357127   1.64535      [0.5000909884298214, 0.4611573103929496, 0.49495445800901017, 0.540613561483091]    1.237
base_link->marker8   -1.04681      -0.176215     0.655782     1.58385     -0.00146895   1.69721      [0.4639645449974087, 0.47084666939724634, 0.5336959874295, 0.5274551240669848]      1.24776
base_link->marker9   -1.04322      -0.176118     0.653446     1.58995     -0.00320352   1.68536      [0.46517226422505437, 0.47587447428134916, 0.532088694992849, 0.5234881755913807]   1.24351
base_link->marker10  -1.03183      -0.176064     0.670214     1.61279     -0.00185659   1.65292      [0.4683969195222451, 0.48947856156706737, 0.5304732702986833, 0.5095224951333613]   1.24292
base_link->marker11  -1.04286      -0.177028     0.684318     1.62926     -0.00385583   1.67595      [0.45796375591479255, 0.487638731946428, 0.5398345108744894, 0.5109367536623262]    1.25983
base_link->marker12  -1.0461       -0.154154     0.691876     1.60828      0.0166259    1.65815      [0.47305469642042686, 0.4822922823627697, 0.5349102151575988, 0.5074292761439169]   1.26364
base_link->marker13  -1.03496      -0.157638     0.697971     1.58427      0.0110362    1.65518      [0.4781160276941622, 0.4788183877727724, 0.5267549927549227, 0.5144581549556764]    1.25823
base_link->marker14  -1.03629      -0.161343     0.693565     1.5819       0.00873679   1.68471      [0.47041888844787516, 0.4710334319133303, 0.5326130200110001, 0.5226441871160327]   1.25736
base_link->marker15  -1.05113      -0.146639     0.686645     1.5673       0.0119052    1.66147      [0.4807519491099608, 0.47286771376380615, 0.5240678553271083, 0.5202178118054106]   1.26406
base_link->marker16  -1.04535      -0.142818     0.662204     1.54201     -0.00606053   1.72197      [0.4657942254106567, 0.45578127026651827, 0.527137765990973, 0.5453668021748033]    1.24566
base_link->marker17  -1.04751      -0.149445     0.665884     1.54988      0.00334502   1.65484      [0.48439317925535713, 0.4726447181890185, 0.515899090251844, 0.5251841076577151]    1.2502
base_link->marker18  -1.04845      -0.144172     0.654828     1.52792     -0.0130703    1.68159      [0.47816897470314684, 0.4648395162968428, 0.512343711915073, 0.5410938703971274]    1.24452
base_link->marker19  -1.04636      -0.16416      0.650912     1.59168     -0.00779595   1.70005      [0.45966997648243313, 0.47355716035541034, 0.5349624564824474, 0.527505733382136]   1.24318
base_link->marker20  -1.0419       -0.170038     0.663636     1.56898      0.00449392   1.67763      [0.474197828520522, 0.4709769746594084, 0.5265679957315669, 0.5253981867482351]     1.24695
base_link->marker21  -1.03601      -0.171729     0.664861     1.56122      0.0018162    1.69664      [0.4702826072317107, 0.4648399759262529, 0.5283312795233525, 0.5325637287625232]    1.24292
base_link->marker22  -1.02407      -0.177583     0.694612     1.59081      0.0104538    1.70523      [0.46341383769991046, 0.4671590590600757, 0.5401548171462371, 0.5246358757081531]   1.2501
base_link->marker23  -1.03568      -0.16261      0.721964     1.61042      0.0157771    1.6706       [0.4691476418868864, 0.47967400860501574, 0.5382534670150454, 0.5099966086426972]   1.27291
base_link->marker24  -1.04803      -0.163218     0.709918     1.63653      0.0197365    1.69704      [0.45723378358419464, 0.4774909437681486, 0.5521235798023054, 0.5080346625920047]   1.27632
base_link->marker25  -1.03984      -0.147262     0.699401     1.6404       0.0209548    1.66863      [0.46379071108529585, 0.4858691502322619, 0.5465309389202472, 0.5001332602082452]   1.26179
base_link->marker26  -1.03478      -0.134892     0.689978     1.39921      0.0631162    1.7228       [0.5135314657404916, 0.4009050958533213, 0.504057603649507, 0.5669977689694885]     1.25101
base_link->marker27  -1.03329      -0.168137     0.711248     1.58391     -0.00108687   1.69277      [0.4652256587606892, 0.4719442234380208, 0.5327506130925697, 0.5263178893441276]    1.26564
base_link->marker28  -1.04858      -0.171695     0.715402     1.71096      0.0250717    1.65065      [0.45179590016292875, 0.5059713972849287, 0.5602007856714195, 0.4754455693963618]   1.28094
